facility_id,facility_name,betweenness_centrality,in_degree_centrality,out_degree_centrality,in_degree_raw,out_degree_raw,clustering_coefficient,pagerank,avg_incident_delay,avg_sla_breach_rate,total_trip_volume,centrality_rank,centrality_tier
IND484446AAA,DOLA_CHAINDPP_D (MADHYA PRADESH),0.0,0.0012077294685990338,0.0006038647342995169,2,1,0.3333333333333333,0.0005607395498275573,1.3582378405907818,0.3333333333333333,8,1260,Tier 3 — Local Spoke
IND600044AAE,CHENNAI_CHROMPET_L (TAMIL NADU),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00029979516753804013,1.5515151515151515,0.8945233265720081,63,1261,Tier 3 — Local Spoke
IND722202AAA,BARJORA_CENTRAL_DPP_1 (WEST BENGAL),0.0,0.0006038647342995169,0.0012077294685990338,1,2,1.0,0.00037260961765814336,2.3329545454545455,1.0,9,1262,Tier 3 — Local Spoke
IND722101AAA,BANKURA_KERANDPP_D (WEST BENGAL),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.00048106198336637343,2.6726190476190474,1.0,10,1263,Tier 3 — Local Spoke
IND360575AAA,PORBANDAR_DC (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0004741761443242058,1.5404761904761903,0.9,21,1264,Tier 3 — Local Spoke
IND508213AAB,SURYAPET_KRISHNA_D (TELANGANA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0002761067019658234,1.9554880647911337,1.0,28,1265,Tier 3 — Local Spoke
IND384355AAB,VADNAGAR_BSSTDDPP_D (GUJARAT),0.0,0.0006038647342995169,0.0012077294685990338,1,2,1.0,0.00036826095157926236,1.9938684503901893,1.0,26,1266,Tier 3 — Local Spoke
IND385535AAA,DEESA_HAWAIPLR_DC (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.000558070238227008,2.0681818181818183,1.0,31,1267,Tier 3 — Local Spoke
IND571105AAA,HUNSUR_RATNADPP_D (KARNATAKA),0.0,0.0,0.0012077294685990338,0,2,1.0,0.00011994491700815865,1.5112648221343874,1.0,13,1268,Tier 3 — Local Spoke
IND441912AAA,BHANDARA_KAREMDPP_D (MAHARASHTRA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00022190871965726834,2.2257575757575756,0.9166666666666667,23,1269,Tier 3 — Local Spoke
IND571213AAA,GONIKOPPAL_THOMAS_D (KARNATAKA),0.0,0.0006038647342995169,0.0012077294685990338,1,2,0.6666666666666666,0.0001746802916484876,3.8181599355941063,0.9583333333333334,21,1270,Tier 3 — Local Spoke
IND571114AAA,HDKOTE_BEGURRD_D (KARNATAKA),0.0,0.0012077294685990338,0.0006038647342995169,2,1,0.6666666666666666,0.00018760958444821377,2.678084464555053,0.9583333333333334,17,1271,Tier 3 — Local Spoke
IND385320AAA,BHABHAR_TIRUPDPP_D (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0002784403740520714,0.8272321428571429,0.0,27,1272,Tier 3 — Local Spoke
IND530012AAC,VIZAG_GAJUWAKA_L (ANDHRA PRADESH),0.0,0.0,0.0012077294685990338,0,2,1.0,0.00011994491700815865,2.129248366013072,1.0,5,1273,Tier 3 — Local Spoke
IND416602AAC,KANKAVALI_NRDAWDPP_D (MAHARASHTRA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.00041160109413625873,2.1286078098471988,0.9285714285714286,13,1274,Tier 3 — Local Spoke
IND462001AAA,BHOPAL_OLD CITY (MADHYA PRADESH),0.0,0.0012077294685990338,0.0006038647342995169,2,1,0.0,0.0005991050329159108,3.976094276094276,1.0,32,1275,Tier 3 — Local Spoke
IND383255AAB,KHEDBRAHMA_PATELFLI_D (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.00025089438335133986,1.54247311827957,0.5277777777777778,21,1276,Tier 3 — Local Spoke
IND832109AAB,JAMSHEDPUR_CENTRAL_I_3 (JHARKHAND),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0003270275634838208,1.9333333333333331,0.9642857142857143,36,1277,Tier 3 — Local Spoke
IND388620AAB,KHAMBHAT_MOTVDDPP_D (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0007183671520289689,1.4681818181818183,0.8251748251748252,24,1278,Tier 3 — Local Spoke
IND413531AAA,LATUR_SRNWSNGR_D (MAHARASHTRA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0002816632029670425,1.9642857142857144,0.875,8,1279,Tier 3 — Local Spoke
IND431717AAA,DEGLOOR_BUSSTAND_D (MAHARASHTRA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0004271249975226907,5.585017969451932,1.0,4,1280,Tier 3 — Local Spoke
IND387001AAA,NADIAD_DC (GUJARAT),0.0,0.0006038647342995169,0.0006038647342995169,1,1,1.0,0.0003489763832848974,1.7222222222222223,1.0,25,1281,Tier 3 — Local Spoke
IND388220AAA,UMRETH_DAKOR_DC (GUJARAT),0.0,0.0012077294685990338,0.0006038647342995169,2,1,1.0,0.0006608985316746918,1.7912457912457913,1.0,29,1282,Tier 3 — Local Spoke
IND560083AAB,BENGALURU_BNNRGHTA_L (KARNATAKA),0.0,0.0012077294685990338,0.0012077294685990338,2,2,1.0,0.0003543613059718247,1.3643353174603174,0.9085483870967741,83,1283,Tier 3 — Local Spoke
IND121102AAA,PALWAL (HARYANA),0.0,0.0006038647342995169,0.0006038647342995169,1,1,0.0,0.0004141861839162713,1.8452380952380953,1.0,53,1284,Tier 3 — Local Spoke
IND441904AAB,BHANDARA_RJNAIDPP_D (MAHARASHTRA),0.0,0.0,0.0006038647342995169,0,1,0.0,0.00011994491700815865,1.6333333333333333,0.8333333333333334,12,1285,Tier 3 — Local Spoke
